Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1218158,-,-,-,40.17,-74.82,-5,26,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2008,1,1,0,30,0,0,0,0,0,1010.0,154.60000000000002,1.4000000000000001,0.115
2008,1,1,1,30,0,0,0,0,0,1010.0,151.3,1.5,0.115
2008,1,1,2,30,0,0,0,0,0,1010.0,148.3,1.7000000000000002,0.115
2008,1,1,3,30,0,0,0,1,1,1010.0,146.4,2.1,0.115
2008,1,1,4,30,0,0,0,1,2,1010.0,145.9,2.5,0.115
2008,1,1,5,30,0,0,0,2,2,1010.0,146.9,2.9000000000000004,0.115
2008,1,1,6,30,0,0,0,2,3,1000.0,145.1,3.1,0.115
2008,1,1,7,30,0,0,0,2,4,1000.0,144.20000000000002,3.4000000000000004,0.115
2008,1,1,8,30,0,4,4,4,5,1000.0,168.5,3.8000000000000003,0.115
2008,1,1,9,30,0,54,54,5,6,1000.0,201.10000000000002,4.0,0.115
2008,1,1,10,30,202,167,247,6,7,1000.0,225.0,4.0,0.115
2008,1,1,11,30,191,194,279,6,7,1000.0,249.10000000000002,3.9000000000000004,0.115
2008,1,1,12,30,22,171,181,4,8,1000.0,266.0,3.9000000000000004,0.115
2008,1,1,13,30,0,36,36,3,7,1000.0,274.5,4.0,0.115
2008,1,1,14,30,27,119,127,1,6,1000.0,277.3,3.7,0.115
2008,1,1,15,30,576,50,156,0,5,1000.0,277.7,2.9000000000000004,0.115
2008,1,1,16,30,131,13,16,0,3,1000.0,277.1,2.5,0.115
2008,1,1,17,30,0,0,0,0,2,1000.0,274.6,2.9000000000000004,0.115
2008,1,1,18,30,0,0,0,-1,2,1000.0,272.40000000000003,3.5,0.115
2008,1,1,19,30,0,0,0,-1,1,1000.0,269.6,3.7,0.115
2008,1,1,20,30,0,0,0,-1,0,1000.0,263.90000000000003,3.8000000000000003,0.115
2008,1,1,21,30,0,0,0,-2,0,1000.0,259.7,3.9000000000000004,0.115
2008,1,1,22,30,0,0,0,-2,0,1000.0,258.5,4.0,0.115
2008,1,1,23,30,0,0,0,-2,0,1000.0,258.6,3.9000000000000004,0.115
2008,1,2,0,30,0,0,0,-2,0,1000.0,258.5,3.7,0.115
2008,1,2,1,30,0,0,0,-2,0,1000.0,261.1,3.4000000000000004,0.115
2008,1,2,2,30,0,0,0,-2,0,1000.0,267.8,3.0,0.115
2008,1,2,3,30,0,0,0,-3,0,1000.0,279.2,3.0,0.115
2008,1,2,4,30,0,0,0,-4,0,1000.0,294.1,3.1,0.115
2008,1,2,5,30,0,0,0,-5,-1,1000.0,300.3,3.0,0.115
2008,1,2,6,30,0,0,0,-5,-1,1000.0,302.3,2.9000000000000004,0.115
2008,1,2,7,30,0,0,0,-5,-1,1000.0,303.90000000000003,3.3000000000000003,0.115
2008,1,2,8,30,15,64,66,-5,-1,1000.0,309.0,3.9000000000000004,0.115
2008,1,2,9,30,0,9,9,-6,-1,1000.0,318.0,4.3,0.115
2008,1,2,10,30,0,81,81,-6,0,1000.0,324.5,4.6000000000000005,0.115
2008,1,2,11,30,311,181,319,-7,0,1000.0,328.3,4.9,0.115
2008,1,2,12,30,754,111,449,-7,0,1000.0,330.40000000000003,5.1000000000000005,0.115
2008,1,2,13,30,807,83,408,-8,0,1010.0,330.8,5.2,0.115
2008,1,2,14,30,769,66,307,-9,-1,1010.0,330.20000000000005,5.1000000000000005,0.115
2008,1,2,15,30,637,45,164,-9,-2,1010.0,329.3,4.7,0.115
2008,1,2,16,30,225,13,19,-10,-3,1010.0,329.1,4.4,0.115
2008,1,2,17,30,0,0,0,-10,-4,1010.0,329.8,4.5,0.115
2008,1,2,18,30,0,0,0,-11,-5,1010.0,332.1,4.6000000000000005,0.115
2008,1,2,19,30,0,0,0,-12,-6,1020.0,332.70000000000005,4.5,0.115
2008,1,2,20,30,0,0,0,-12,-6,1020.0,332.5,4.2,0.115
2008,1,2,21,30,0,0,0,-12,-6,1020.0,331.8,4.0,0.115
2008,1,2,22,30,0,0,0,-12,-7,1020.0,330.8,3.9000000000000004,0.115
2008,1,2,23,30,0,0,0,-12,-7,1020.0,329.1,3.9000000000000004,0.115
2008,1,3,0,30,0,0,0,-12,-7,1020.0,327.3,3.8000000000000003,0.115
2008,1,3,1,30,0,0,0,-12,-7,1020.0,326.40000000000003,3.8000000000000003,0.115
2008,1,3,2,30,0,0,0,-12,-7,1020.0,325.70000000000005,3.8000000000000003,0.115
2008,1,3,3,30,0,0,0,-12,-7,1020.0,325.40000000000003,3.8000000000000003,0.115
2008,1,3,4,30,0,0,0,-12,-7,1020.0,326.3,3.8000000000000003,0.115
2008,1,3,5,30,0,0,0,-13,-7,1020.0,328.70000000000005,3.9000000000000004,0.115
2008,1,3,6,30,0,0,0,-13,-7,1020.0,331.20000000000005,4.0,0.115
2008,1,3,7,30,0,0,0,-13,-7,1030.0,334.6,4.3,0.115
2008,1,3,8,30,638,42,150,-13,-6,1030.0,337.70000000000005,4.5,0.115
2008,1,3,9,30,817,58,304,-14,-6,1030.0,340.40000000000003,4.4,0.115
2008,1,3,10,30,899,65,421,-14,-5,1030.0,342.1,4.2,0.115
2008,1,3,11,30,931,69,485,-14,-5,1030.0,338.40000000000003,4.1000000000000005,0.115
2008,1,3,12,30,932,69,488,-14,-4,1030.0,333.1,4.0,0.115
2008,1,3,13,30,918,61,433,-14,-4,1030.0,330.5,3.8000000000000003,0.115
2008,1,3,14,30,851,54,322,-13,-4,1030.0,328.6,3.5,0.115
2008,1,3,15,30,699,41,172,-13,-5,1030.0,327.0,2.9000000000000004,0.115
2008,1,3,16,30,297,13,22,-13,-6,1030.0,327.0,2.1,0.115
2008,1,3,17,30,0,0,0,-12,-7,1030.0,330.70000000000005,1.5,0.115
2008,1,3,18,30,0,0,0,-11,-8,1030.0,336.90000000000003,1.1,0.115
2008,1,3,19,30,0,0,0,-11,-8,1030.0,343.0,0.9,0.115
2008,1,3,20,30,0,0,0,-12,-8,1030.0,344.0,0.8,0.115
2008,1,3,21,30,0,0,0,-12,-8,1030.0,337.70000000000005,0.7000000000000001,0.115
2008,1,3,22,30,0,0,0,-13,-8,1030.0,313.70000000000005,0.6000000000000001,0.115
2008,1,3,23,30,0,0,0,-13,-8,1030.0,270.8,0.6000000000000001,0.115
2008,1,4,0,30,0,0,0,-13,-9,1030.0,248.4,0.7000000000000001,0.115
2008,1,4,1,30,0,0,0,-13,-9,1030.0,241.10000000000002,0.8,0.115
2008,1,4,2,30,0,0,0,-12,-9,1030.0,239.10000000000002,0.9,0.115
2008,1,4,3,30,0,0,0,-12,-9,1030.0,241.10000000000002,1.0,0.115
2008,1,4,4,30,0,0,0,-11,-9,1030.0,243.0,1.0,0.115
2008,1,4,5,30,0,0,0,-11,-8,1030.0,244.10000000000002,1.0,0.115
2008,1,4,6,30,0,0,0,-10,-8,1030.0,243.3,1.1,0.115
2008,1,4,7,30,0,0,0,-10,-7,1030.0,243.0,1.7000000000000002,0.115
2008,1,4,8,30,582,45,144,-9,-5,1030.0,243.8,2.5,0.115
2008,1,4,9,30,771,61,294,-9,-2,1030.0,240.9,3.2,0.115
2008,1,4,10,30,865,67,411,-8,0,1030.0,241.9,3.7,0.115
2008,1,4,11,30,900,71,474,-8,0,1030.0,241.9,3.7,0.115
2008,1,4,12,30,901,71,478,-7,1,1020.0,241.70000000000002,3.6,0.115
2008,1,4,13,30,854,71,419,-7,2,1020.0,241.0,3.3000000000000003,0.115
2008,1,4,14,30,760,65,307,-6,1,1020.0,239.5,2.5,0.115
2008,1,4,15,30,0,47,47,-5,0,1020.0,237.0,1.6,0.115
2008,1,4,16,30,0,5,5,-4,0,1020.0,232.10000000000002,1.3,0.115
2008,1,4,17,30,0,0,0,-4,0,1020.0,229.10000000000002,1.4000000000000001,0.115
2008,1,4,18,30,0,0,0,-4,0,1020.0,225.9,1.5,0.115
2008,1,4,19,30,0,0,0,-4,0,1020.0,223.9,1.5,0.115
2008,1,4,20,30,0,0,0,-4,-1,1020.0,222.70000000000002,1.4000000000000001,0.115
2008,1,4,21,30,0,0,0,-4,-1,1020.0,221.9,1.4000000000000001,0.115
2008,1,4,22,30,0,0,0,-4,-1,1020.0,220.70000000000002,1.3,0.115
2008,1,4,23,30,0,0,0,-4,-2,1020.0,221.5,1.2000000000000002,0.115
2008,1,5,0,30,0,0,0,-4,-3,1020.0,223.70000000000002,1.1,0.115
2008,1,5,1,30,0,0,0,-4,-3,1020.0,226.0,1.1,0.115
2008,1,5,2,30,0,0,0,-4,-4,1020.0,229.0,1.0,0.115
2008,1,5,3,30,0,0,0,-4,-4,1020.0,232.4,0.9,0.115
2008,1,5,4,30,0,0,0,-5,-5,1020.0,235.5,0.9,0.115
2008,1,5,5,30,0,0,0,-5,-5,1020.0,235.20000000000002,0.9,0.115
2008,1,5,6,30,0,0,0,-5,-4,1020.0,232.70000000000002,1.0,0.115
2008,1,5,7,30,0,0,0,-4,-3,1020.0,231.5,1.1,0.115
2008,1,5,8,30,521,49,138,-3,-1,1020.0,224.10000000000002,1.4000000000000001,0.115
2008,1,5,9,30,726,67,287,-2,1,1020.0,213.4,1.7000000000000002,0.115
2008,1,5,10,30,499,124,322,-2,2,1020.0,203.9,1.9000000000000001,0.115
2008,1,5,11,30,245,191,301,-2,3,1020.0,196.9,1.9000000000000001,0.115
2008,1,5,12,30,285,188,317,-1,3,1020.0,196.9,1.5,0.115
2008,1,5,13,30,31,161,174,0,2,1020.0,199.5,0.9,0.115
2008,1,5,14,30,60,129,148,0,1,1020.0,200.70000000000002,0.8,0.115
2008,1,5,15,30,170,71,104,0,0,1020.0,201.3,0.8,0.115
2008,1,5,16,30,0,13,13,-1,0,1020.0,208.4,0.9,0.115
2008,1,5,17,30,0,0,0,-1,0,1020.0,217.70000000000002,1.0,0.115
2008,1,5,18,30,0,0,0,-1,0,1020.0,220.60000000000002,1.0,0.115
2008,1,5,19,30,0,0,0,-1,0,1020.0,224.9,1.0,0.115
2008,1,5,20,30,0,0,0,-1,0,1020.0,230.3,1.1,0.115
2008,1,5,21,30,0,0,0,0,0,1020.0,233.9,1.0,0.115
2008,1,5,22,30,0,0,0,0,0,1020.0,236.5,1.0,0.115
2008,1,5,23,30,0,0,0,0,0,1020.0,233.20000000000002,1.0,0.115
2008,1,6,0,30,0,0,0,0,0,1020.0,224.8,1.0,0.115
2008,1,6,1,30,0,0,0,0,0,1020.0,217.3,1.0,0.115
2008,1,6,2,30,0,0,0,0,0,1010.0,214.10000000000002,1.1,0.115
2008,1,6,3,30,0,0,0,0,0,1010.0,216.20000000000002,1.1,0.115
2008,1,6,4,30,0,0,0,0,0,1010.0,223.0,1.0,0.115
2008,1,6,5,30,0,0,0,0,0,1020.0,229.20000000000002,1.0,0.115
2008,1,6,6,30,0,0,0,0,0,1020.0,233.10000000000002,1.1,0.115
2008,1,6,7,30,0,0,0,0,0,1020.0,233.60000000000002,1.4000000000000001,0.115
2008,1,6,8,30,28,62,66,1,2,1020.0,240.0,1.7000000000000002,0.115
2008,1,6,9,30,0,91,91,2,4,1020.0,241.9,1.6,0.115
2008,1,6,10,30,65,166,192,3,6,1020.0,239.5,1.6,0.115
2008,1,6,11,30,12,165,171,4,7,1010.0,236.0,1.6,0.115
2008,1,6,12,30,10,163,168,5,8,1010.0,229.0,1.6,0.115
2008,1,6,13,30,7,147,150,6,8,1010.0,226.10000000000002,1.5,0.115
2008,1,6,14,30,661,74,288,6,7,1010.0,220.5,1.1,0.115
2008,1,6,15,30,500,55,152,4,4,1010.0,215.8,1.0,0.115
2008,1,6,16,30,103,16,20,2,2,1010.0,216.70000000000002,1.2000000000000002,0.115
