Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1111403,-,-,-,40.29,-78.1,-5,386,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2000,1,1,0,30,0,0,0,-3,-3,970.0,246.5,0.2,0.12
2000,1,1,1,30,0,0,0,-2,-2,970.0,248.0,0.2,0.12
2000,1,1,2,30,0,0,0,-2,-2,970.0,253.10000000000002,0.2,0.12
2000,1,1,3,30,0,0,0,-1,-1,970.0,261.5,0.2,0.12
2000,1,1,4,30,0,0,0,-2,-1,970.0,267.5,0.2,0.12
2000,1,1,5,30,0,0,0,-2,-1,970.0,268.6,0.2,0.12
2000,1,1,6,30,0,0,0,-2,-2,970.0,260.0,0.2,0.12
2000,1,1,7,30,0,0,0,-2,-1,970.0,245.60000000000002,0.2,0.12
2000,1,1,8,30,572,36,114,-2,0,970.0,236.5,0.2,0.12
2000,1,1,9,30,792,52,269,-1,1,970.0,231.5,0.2,0.12
2000,1,1,10,30,883,59,391,-1,4,970.0,222.5,0.2,0.12
2000,1,1,11,30,919,63,463,0,6,970.0,215.5,0.2,0.12
2000,1,1,12,30,920,64,476,0,7,970.0,219.3,0.30000000000000004,0.12
2000,1,1,13,30,886,64,430,0,7,970.0,214.3,0.2,0.12
2000,1,1,14,30,807,61,329,2,6,970.0,194.8,0.30000000000000004,0.12
2000,1,1,15,30,645,51,188,2,3,970.0,175.20000000000002,0.5,0.12
2000,1,1,16,30,280,23,40,0,0,970.0,171.4,0.5,0.12
2000,1,1,17,30,0,0,0,0,0,970.0,173.0,0.30000000000000004,0.12
2000,1,1,18,30,0,0,0,0,0,970.0,177.0,0.2,0.12
2000,1,1,19,30,0,0,0,0,0,970.0,179.0,0.2,0.12
2000,1,1,20,30,0,0,0,0,0,970.0,184.70000000000002,0.2,0.12
2000,1,1,21,30,0,0,0,0,0,970.0,191.10000000000002,0.2,0.12
2000,1,1,22,30,0,0,0,0,0,970.0,199.10000000000002,0.2,0.12
2000,1,1,23,30,0,0,0,0,0,970.0,209.0,0.2,0.12
2000,1,2,0,30,0,0,0,1,1,970.0,218.3,0.2,0.12
2000,1,2,1,30,0,0,0,1,1,970.0,218.9,0.2,0.12
2000,1,2,2,30,0,0,0,1,1,970.0,216.4,0.2,0.12
2000,1,2,3,30,0,0,0,1,1,970.0,207.20000000000002,0.2,0.12
2000,1,2,4,30,0,0,0,2,2,970.0,200.3,0.2,0.12
2000,1,2,5,30,0,0,0,2,2,970.0,200.70000000000002,0.2,0.12
2000,1,2,6,30,0,0,0,2,2,970.0,206.3,0.30000000000000004,0.12
2000,1,2,7,30,0,0,0,2,2,970.0,214.20000000000002,0.30000000000000004,0.12
2000,1,2,8,30,405,43,98,2,3,970.0,224.60000000000002,0.30000000000000004,0.12
2000,1,2,9,30,630,68,240,4,4,970.0,228.4,0.4,0.12
2000,1,2,10,30,139,161,214,5,6,970.0,221.3,0.4,0.12
2000,1,2,11,30,754,92,421,7,8,970.0,203.4,0.30000000000000004,0.12
2000,1,2,12,30,778,88,438,8,9,970.0,178.9,0.30000000000000004,0.12
2000,1,2,13,30,464,140,333,8,10,970.0,168.5,0.4,0.12
2000,1,2,14,30,0,74,74,9,9,960.0,164.10000000000002,0.30000000000000004,0.12
2000,1,2,15,30,31,80,87,7,7,960.0,162.60000000000002,0.30000000000000004,0.12
2000,1,2,16,30,0,19,19,4,5,960.0,166.5,0.30000000000000004,0.12
2000,1,2,17,30,0,0,0,4,5,960.0,177.60000000000002,0.30000000000000004,0.12
2000,1,2,18,30,0,0,0,4,5,960.0,188.8,0.30000000000000004,0.12
2000,1,2,19,30,0,0,0,6,6,960.0,198.70000000000002,0.30000000000000004,0.12
2000,1,2,20,30,0,0,0,6,6,960.0,210.70000000000002,0.4,0.12
2000,1,2,21,30,0,0,0,6,6,960.0,216.70000000000002,0.4,0.12
2000,1,2,22,30,0,0,0,6,6,960.0,220.3,0.4,0.12
2000,1,2,23,30,0,0,0,6,6,960.0,224.3,0.4,0.12
2000,1,3,0,30,0,0,0,6,6,960.0,225.20000000000002,0.4,0.12
2000,1,3,1,30,0,0,0,6,6,970.0,224.8,0.30000000000000004,0.12
2000,1,3,2,30,0,0,0,6,6,970.0,223.70000000000002,0.30000000000000004,0.12
2000,1,3,3,30,0,0,0,6,6,970.0,224.3,0.30000000000000004,0.12
2000,1,3,4,30,0,0,0,6,6,970.0,225.60000000000002,0.30000000000000004,0.12
2000,1,3,5,30,0,0,0,6,6,970.0,225.9,0.30000000000000004,0.12
2000,1,3,6,30,0,0,0,6,6,970.0,237.60000000000002,0.2,0.12
2000,1,3,7,30,0,0,0,6,6,970.0,250.5,0.2,0.12
2000,1,3,8,30,0,30,30,7,8,970.0,262.6,0.2,0.12
2000,1,3,9,30,0,38,38,8,10,970.0,257.1,0.2,0.12
2000,1,3,10,30,19,143,150,10,11,970.0,245.60000000000002,0.2,0.12
2000,1,3,11,30,83,193,229,11,12,970.0,234.70000000000002,0.2,0.12
2000,1,3,12,30,18,170,178,11,13,970.0,219.10000000000002,0.2,0.12
2000,1,3,13,30,328,165,302,11,13,970.0,194.4,0.2,0.12
2000,1,3,14,30,136,141,187,11,12,970.0,175.10000000000002,0.2,0.12
2000,1,3,15,30,466,69,170,9,10,970.0,168.3,0.2,0.12
2000,1,3,16,30,187,26,38,8,8,970.0,165.9,0.2,0.12
2000,1,3,17,30,0,0,0,8,8,970.0,161.9,0.30000000000000004,0.12
2000,1,3,18,30,0,0,0,9,9,970.0,158.5,0.4,0.12
2000,1,3,19,30,0,0,0,9,9,960.0,155.8,0.4,0.12
2000,1,3,20,30,0,0,0,9,9,960.0,155.0,0.4,0.12
2000,1,3,21,30,0,0,0,9,9,960.0,156.4,0.4,0.12
2000,1,3,22,30,0,0,0,9,9,960.0,153.0,0.4,0.12
2000,1,3,23,30,0,0,0,9,9,960.0,163.0,0.4,0.12
2000,1,4,0,30,0,0,0,9,9,960.0,166.60000000000002,0.4,0.12
2000,1,4,1,30,0,0,0,9,10,960.0,164.4,0.5,0.12
2000,1,4,2,30,0,0,0,9,10,960.0,163.3,0.5,0.12
2000,1,4,3,30,0,0,0,9,10,960.0,161.0,0.5,0.12
2000,1,4,4,30,0,0,0,9,10,960.0,162.70000000000002,0.5,0.12
2000,1,4,5,30,0,0,0,9,10,960.0,162.20000000000002,0.5,0.12
2000,1,4,6,30,0,0,0,9,10,950.0,167.8,0.6000000000000001,0.12
2000,1,4,7,30,0,0,0,9,10,950.0,183.4,0.6000000000000001,0.12
2000,1,4,8,30,0,38,38,9,10,950.0,192.70000000000002,0.6000000000000001,0.12
2000,1,4,9,30,22,103,110,11,11,950.0,201.3,0.6000000000000001,0.12
2000,1,4,10,30,0,68,68,11,11,950.0,220.20000000000002,0.6000000000000001,0.12
2000,1,4,11,30,0,82,82,11,11,950.0,240.60000000000002,0.6000000000000001,0.12
2000,1,4,12,30,0,105,105,9,10,950.0,253.60000000000002,0.7000000000000001,0.12
2000,1,4,13,30,16,156,163,7,9,950.0,257.8,0.7000000000000001,0.12
2000,1,4,14,30,0,102,102,6,8,960.0,256.6,0.7000000000000001,0.12
2000,1,4,15,30,9,79,81,5,7,960.0,265.6,0.7000000000000001,0.12
2000,1,4,16,30,0,18,18,4,6,960.0,281.3,0.8,0.12
2000,1,4,17,30,0,0,0,2,4,960.0,287.1,0.8,0.12
2000,1,4,18,30,0,0,0,0,2,960.0,290.5,0.8,0.12
2000,1,4,19,30,0,0,0,0,1,960.0,294.2,0.8,0.12
