Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1093712,-,-,-,40.53,-78.78,-5,664,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2015,1,1,0,30,0,0,0,-13,-9,940.0,262.5,0.8,0.124
2015,1,1,1,30,0,0,0,-13,-9,940.0,262.2,0.8,0.124
2015,1,1,2,30,0,0,0,-13,-8,940.0,264.2,0.8,0.124
2015,1,1,3,30,0,0,0,-13,-8,940.0,266.7,0.8,0.124
2015,1,1,4,30,0,0,0,-13,-9,940.0,266.5,0.8,0.124
2015,1,1,5,30,0,0,0,-13,-9,940.0,263.90000000000003,0.7000000000000001,0.124
2015,1,1,6,30,0,0,0,-13,-9,940.0,258.7,0.7000000000000001,0.124
2015,1,1,7,30,0,0,0,-13,-9,940.0,254.3,0.7000000000000001,0.124
2015,1,1,8,30,588,33,107,-13,-8,940.0,249.8,0.7000000000000001,0.124
2015,1,1,9,30,802,50,263,-12,-6,940.0,246.20000000000002,0.8,0.124
2015,1,1,10,30,901,57,389,-12,-4,940.0,245.0,0.9,0.124
2015,1,1,11,30,938,61,465,-10,-2,940.0,246.0,1.0,0.124
2015,1,1,12,30,941,63,482,-9,-1,940.0,247.60000000000002,1.0,0.124
2015,1,1,13,30,912,63,439,-9,-1,940.0,249.70000000000002,1.0,0.124
2015,1,1,14,30,845,58,341,-8,-1,940.0,250.0,1.0,0.124
2015,1,1,15,30,708,47,200,-7,-1,940.0,249.9,0.9,0.124
2015,1,1,16,30,371,23,47,-7,-2,940.0,249.5,0.8,0.124
2015,1,1,17,30,0,0,0,-6,-2,940.0,249.9,0.8,0.124
2015,1,1,18,30,0,0,0,-6,-2,940.0,253.0,0.9,0.124
2015,1,1,19,30,0,0,0,-6,-3,940.0,256.6,0.9,0.124
2015,1,1,20,30,0,0,0,-5,-3,940.0,260.2,0.9,0.124
2015,1,1,21,30,0,0,0,-5,-3,940.0,262.2,0.9,0.124
2015,1,1,22,30,0,0,0,-5,-3,940.0,264.40000000000003,0.9,0.124
2015,1,1,23,30,0,0,0,-5,-3,940.0,267.90000000000003,0.9,0.124
2015,1,2,0,30,0,0,0,-5,-3,940.0,271.3,0.9,0.124
2015,1,2,1,30,0,0,0,-5,-3,940.0,273.2,0.8,0.124
2015,1,2,2,30,0,0,0,-6,-3,940.0,274.2,0.8,0.124
2015,1,2,3,30,0,0,0,-6,-4,940.0,273.6,0.8,0.124
2015,1,2,4,30,0,0,0,-6,-4,940.0,273.0,0.8,0.124
2015,1,2,5,30,0,0,0,-6,-4,940.0,272.5,0.7000000000000001,0.124
2015,1,2,6,30,0,0,0,-6,-5,940.0,273.40000000000003,0.7000000000000001,0.124
2015,1,2,7,30,0,0,0,-6,-4,940.0,274.1,0.7000000000000001,0.124
2015,1,2,8,30,97,45,58,-6,-3,950.0,274.40000000000003,0.7000000000000001,0.124
2015,1,2,9,30,407,85,193,-6,-2,950.0,276.6,0.7000000000000001,0.124
2015,1,2,10,30,820,68,371,-6,0,950.0,279.1,0.8,0.124
2015,1,2,11,30,867,73,447,-6,0,950.0,282.8,0.7000000000000001,0.124
2015,1,2,12,30,564,134,386,-6,0,950.0,282.1,0.7000000000000001,0.124
2015,1,2,13,30,858,72,427,-6,0,950.0,280.40000000000003,0.6000000000000001,0.124
2015,1,2,14,30,533,95,275,-5,0,950.0,280.3,0.6000000000000001,0.124
2015,1,2,15,30,412,66,156,-5,0,950.0,282.1,0.5,0.124
2015,1,2,16,30,183,25,38,-4,-1,950.0,283.1,0.30000000000000004,0.124
2015,1,2,17,30,0,0,0,-4,-2,950.0,282.90000000000003,0.2,0.124
2015,1,2,18,30,0,0,0,-4,-3,950.0,275.7,0.2,0.124
2015,1,2,19,30,0,0,0,-4,-4,950.0,256.40000000000003,0.30000000000000004,0.124
2015,1,2,20,30,0,0,0,-5,-5,950.0,246.10000000000002,0.5,0.124
2015,1,2,21,30,0,0,0,-5,-4,950.0,250.9,0.7000000000000001,0.124
2015,1,2,22,30,0,0,0,-5,-3,950.0,262.40000000000003,0.5,0.124
2015,1,2,23,30,0,0,0,-5,-3,950.0,324.40000000000003,0.5,0.124
2015,1,3,0,30,0,0,0,-5,-5,950.0,93.80000000000001,0.7000000000000001,0.124
2015,1,3,1,30,0,0,0,-5,-6,950.0,97.5,0.5,0.124
2015,1,3,2,30,0,0,0,-6,-7,950.0,105.60000000000001,0.30000000000000004,0.124
2015,1,3,3,30,0,0,0,-5,-6,950.0,113.60000000000001,0.30000000000000004,0.124
2015,1,3,4,30,0,0,0,-5,-5,950.0,116.2,0.4,0.124
2015,1,3,5,30,0,0,0,-5,-4,950.0,121.2,0.5,0.124
2015,1,3,6,30,0,0,0,-5,-3,950.0,132.3,0.6000000000000001,0.124
2015,1,3,7,30,0,0,0,-5,-2,950.0,138.1,0.7000000000000001,0.124
2015,1,3,8,30,0,3,3,-4,-1,950.0,141.8,0.8,0.124
2015,1,3,9,30,0,48,48,-3,0,950.0,142.70000000000002,1.0,0.124
2015,1,3,10,30,0,124,124,-2,0,950.0,145.0,1.0,0.124
2015,1,3,11,30,0,105,105,-2,0,950.0,149.5,0.9,0.124
2015,1,3,12,30,0,132,132,-1,0,940.0,154.8,0.9,0.124
2015,1,3,13,30,0,99,99,-1,0,940.0,159.5,0.8,0.124
2015,1,3,14,30,0,67,67,0,0,940.0,154.70000000000002,0.8,0.124
2015,1,3,15,30,0,19,19,0,0,940.0,153.1,0.8,0.124
2015,1,3,16,30,0,4,4,0,0,940.0,154.8,0.8,0.124
2015,1,3,17,30,0,0,0,0,0,940.0,160.3,0.8,0.124
