Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1585095,-,-,-,9.33,-63.02,-4,49,-4,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2011,1,1,0,30,0,0,0,21,21,1000.0,22.900000000000002,0.30000000000000004,0.17300000000000001
2011,1,1,1,30,0,0,0,21,21,1000.0,19.900000000000002,0.30000000000000004,0.17300000000000001
2011,1,1,2,30,0,0,0,20,20,1000.0,17.6,0.30000000000000004,0.17300000000000001
2011,1,1,3,30,0,0,0,20,20,1000.0,17.900000000000002,0.30000000000000004,0.17300000000000001
2011,1,1,4,30,0,0,0,20,20,1000.0,17.8,0.30000000000000004,0.17300000000000001
2011,1,1,5,30,0,0,0,20,20,1000.0,19.3,0.30000000000000004,0.17300000000000001
2011,1,1,6,30,0,0,0,20,21,1000.0,22.200000000000003,0.4,0.17300000000000001
2011,1,1,7,30,585,52,185,21,23,1000.0,24.1,0.6000000000000001,0.17300000000000001
2011,1,1,8,30,784,74,419,21,26,1000.0,47.1,0.9,0.17300000000000001
2011,1,1,9,30,871,88,627,21,28,1000.0,59.300000000000004,1.0,0.17300000000000001
2011,1,1,10,30,918,96,785,21,29,1000.0,64.3,1.0,0.17300000000000001
2011,1,1,11,30,924,110,874,20,30,1000.0,67.2,1.0,0.17300000000000001
2011,1,1,12,30,923,114,892,20,31,1000.0,68.8,1.0,0.17300000000000001
2011,1,1,13,30,904,113,835,20,31,1000.0,69.4,1.0,0.17300000000000001
2011,1,1,14,30,864,108,708,20,31,1000.0,68.10000000000001,1.0,0.17300000000000001
2011,1,1,15,30,95,244,295,20,30,1000.0,66.5,0.9,0.17300000000000001
2011,1,1,16,30,654,75,298,20,29,1000.0,63.6,0.7000000000000001,0.17300000000000001
2011,1,1,17,30,313,38,75,21,27,1000.0,59.7,0.5,0.17300000000000001
2011,1,1,18,30,0,0,0,21,26,1000.0,54.1,0.4,0.17300000000000001
2011,1,1,19,30,0,0,0,21,25,1000.0,50.400000000000006,0.4,0.17300000000000001
2011,1,1,20,30,0,0,0,21,24,1000.0,49.1,0.30000000000000004,0.17300000000000001
2011,1,1,21,30,0,0,0,21,24,1000.0,47.6,0.30000000000000004,0.17300000000000001
2011,1,1,22,30,0,0,0,22,23,1000.0,46.400000000000006,0.30000000000000004,0.17300000000000001
2011,1,1,23,30,0,0,0,22,23,1000.0,48.800000000000004,0.30000000000000004,0.17300000000000001
2011,1,2,0,30,0,0,0,22,22,1000.0,52.7,0.30000000000000004,0.17300000000000001
2011,1,2,1,30,0,0,0,22,22,1000.0,57.800000000000004,0.30000000000000004,0.17300000000000001
2011,1,2,2,30,0,0,0,21,21,1000.0,60.1,0.30000000000000004,0.17300000000000001
2011,1,2,3,30,0,0,0,21,21,1000.0,61.1,0.30000000000000004,0.17300000000000001
2011,1,2,4,30,0,0,0,21,21,1000.0,62.900000000000006,0.30000000000000004,0.17300000000000001
2011,1,2,5,30,0,0,0,21,21,1000.0,65.4,0.30000000000000004,0.17300000000000001
2011,1,2,6,30,0,0,0,21,22,1000.0,67.3,0.4,0.17300000000000001
2011,1,2,7,30,0,62,62,22,24,1000.0,68.10000000000001,0.8,0.17300000000000001
2011,1,2,8,30,742,85,411,21,27,1000.0,63.900000000000006,1.1,0.17300000000000001
