Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Surface Albedo Units,Version
NSRDB,1092232,-,-,-,40.61,-78.82,-5,564,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2011,1,1,0,30,0,0,0,2,2,950.0,191.0,0.30000000000000004,0.866
2011,1,1,1,30,0,0,0,2,1,950.0,191.8,0.2,0.866
2011,1,1,2,30,0,0,0,1,1,950.0,187.5,0.2,0.866
2011,1,1,3,30,0,0,0,1,1,950.0,177.5,0.30000000000000004,0.866
2011,1,1,4,30,0,0,0,2,1,950.0,175.10000000000002,0.30000000000000004,0.866
2011,1,1,5,30,0,0,0,1,1,950.0,169.5,0.30000000000000004,0.866
2011,1,1,6,30,0,0,0,1,1,950.0,160.10000000000002,0.2,0.866
2011,1,1,7,30,0,0,0,1,1,950.0,160.70000000000002,0.2,0.866
2011,1,1,8,30,0,20,20,2,3,950.0,172.70000000000002,0.30000000000000004,0.866
2011,1,1,9,30,0,70,70,3,4,950.0,175.9,0.30000000000000004,0.866
2011,1,1,10,30,0,94,94,4,5,950.0,161.5,0.30000000000000004,0.866
2011,1,1,11,30,21,164,173,5,6,950.0,159.4,0.4,0.866
2011,1,1,12,30,13,163,169,5,6,950.0,170.20000000000002,0.4,0.866
2011,1,1,13,30,29,162,174,5,6,950.0,186.70000000000002,0.5,0.866
2011,1,1,14,30,0,60,60,6,6,950.0,201.0,0.4,0.866
2011,1,1,15,30,0,59,59,6,5,950.0,189.60000000000002,0.4,0.866
2011,1,1,16,30,0,13,13,4,4,950.0,184.60000000000002,0.4,0.866
2011,1,1,17,30,0,0,0,4,4,950.0,183.4,0.30000000000000004,0.866
2011,1,1,18,30,0,0,0,4,4,950.0,185.70000000000002,0.30000000000000004,0.866
2011,1,1,19,30,0,0,0,4,4,950.0,185.4,0.4,0.138
2011,1,1,20,30,0,0,0,4,5,950.0,198.10000000000002,0.4,0.138
2011,1,1,21,30,0,0,0,4,5,950.0,224.8,0.4,0.138
2011,1,1,22,30,0,0,0,4,5,950.0,257.40000000000003,0.5,0.138
2011,1,1,23,30,0,0,0,4,4,950.0,280.2,0.6000000000000001,0.138
2011,1,2,0,30,0,0,0,2,2,950.0,286.40000000000003,0.6000000000000001,0.138
2011,1,2,1,30,0,0,0,0,0,950.0,285.8,0.6000000000000001,0.138
2011,1,2,2,30,0,0,0,0,0,950.0,284.90000000000003,0.5,0.138
2011,1,2,3,30,0,0,0,-2,-1,950.0,283.5,0.5,0.138
2011,1,2,4,30,0,0,0,-3,-2,950.0,281.7,0.5,0.138
2011,1,2,5,30,0,0,0,-4,-2,950.0,280.7,0.5,0.138
2011,1,2,6,30,0,0,0,-4,-3,950.0,282.6,0.5,0.138
2011,1,2,7,30,0,0,0,-5,-3,950.0,283.90000000000003,0.5,0.138
2011,1,2,8,30,560,33,103,-6,-2,950.0,285.5,0.6000000000000001,0.138
2011,1,2,9,30,788,51,259,-7,-1,950.0,283.6,0.7000000000000001,0.138
2011,1,2,10,30,442,124,287,-8,0,950.0,279.90000000000003,0.8,0.138
2011,1,2,11,30,307,176,308,-8,0,950.0,279.0,0.8,0.138
2011,1,2,12,30,941,64,483,-8,0,950.0,280.6,0.8,0.138
2011,1,2,13,30,910,65,442,-8,0,950.0,281.7,0.8,0.138
2011,1,2,14,30,854,59,346,-8,0,950.0,281.6,0.8,0.138
2011,1,2,15,30,721,48,205,-8,-1,950.0,283.0,0.7000000000000001,0.138
2011,1,2,16,30,388,23,50,-8,-2,950.0,285.0,0.7000000000000001,0.138
2011,1,2,17,30,0,0,0,-8,-3,950.0,287.3,0.7000000000000001,0.138
2011,1,2,18,30,0,0,0,-8,-4,950.0,289.8,0.8,0.138
2011,1,2,19,30,0,0,0,-9,-5,950.0,292.40000000000003,0.7000000000000001,0.138
2011,1,2,20,30,0,0,0,-9,-5,950.0,293.5,0.7000000000000001,0.138
2011,1,2,21,30,0,0,0,-10,-6,950.0,294.1,0.7000000000000001,0.138
2011,1,2,22,30,0,0,0,-10,-6,950.0,293.90000000000003,0.7000000000000001,0.138
2011,1,2,23,30,0,0,0,-10,-7,950.0,293.3,0.7000000000000001,0.138
2011,1,3,0,30,0,0,0,-11,-7,950.0,293.0,0.7000000000000001,0.138
2011,1,3,1,30,0,0,0,-11,-6,950.0,292.8,0.7000000000000001,0.138
2011,1,3,2,30,0,0,0,-11,-6,950.0,291.1,0.7000000000000001,0.138
2011,1,3,3,30,0,0,0,-11,-6,950.0,288.0,0.7000000000000001,0.138
2011,1,3,4,30,0,0,0,-11,-6,950.0,286.40000000000003,0.7000000000000001,0.138
2011,1,3,5,30,0,0,0,-11,-7,950.0,284.90000000000003,0.6000000000000001,0.138
2011,1,3,6,30,0,0,0,-11,-7,950.0,284.8,0.6000000000000001,0.138
2011,1,3,7,30,0,0,0,-11,-6,950.0,282.8,0.6000000000000001,0.138
2011,1,3,8,30,556,33,102,-11,-5,950.0,280.40000000000003,0.6000000000000001,0.138
2011,1,3,9,30,772,52,256,-11,-4,950.0,281.1,0.6000000000000001,0.138
2011,1,3,10,30,865,61,380,-11,-2,950.0,279.1,0.7000000000000001,0.138
2011,1,3,11,30,901,67,456,-11,-1,950.0,275.90000000000003,0.7000000000000001,0.138
2011,1,3,12,30,907,69,474,-10,0,950.0,273.7,0.7000000000000001,0.138
2011,1,3,13,30,902,62,437,-9,0,950.0,271.40000000000003,0.7000000000000001,0.138
2011,1,3,14,30,838,58,341,-9,0,950.0,267.3,0.6000000000000001,0.138
2011,1,3,15,30,696,49,202,-8,-1,950.0,262.0,0.5,0.138
2011,1,3,16,30,369,24,50,-7,-3,950.0,253.60000000000002,0.30000000000000004,0.138
2011,1,3,17,30,0,0,0,-7,-4,950.0,243.8,0.30000000000000004,0.138
2011,1,3,18,30,0,0,0,-7,-5,950.0,236.20000000000002,0.30000000000000004,0.138
2011,1,3,19,30,0,0,0,-7,-5,950.0,229.9,0.30000000000000004,0.138
2011,1,3,20,30,0,0,0,-7,-5,950.0,225.5,0.4,0.138
2011,1,3,21,30,0,0,0,-7,-5,950.0,223.4,0.30000000000000004,0.138
2011,1,3,22,30,0,0,0,-7,-5,950.0,223.70000000000002,0.30000000000000004,0.138
2011,1,3,23,30,0,0,0,-7,-5,950.0,225.5,0.30000000000000004,0.138
2011,1,4,0,30,0,0,0,-7,-6,950.0,227.4,0.30000000000000004,0.138
2011,1,4,1,30,0,0,0,-7,-5,950.0,226.4,0.30000000000000004,0.138
2011,1,4,2,30,0,0,0,-7,-5,950.0,224.3,0.30000000000000004,0.138
2011,1,4,3,30,0,0,0,-7,-5,950.0,220.20000000000002,0.30000000000000004,0.138
2011,1,4,4,30,0,0,0,-7,-5,950.0,213.9,0.30000000000000004,0.138
2011,1,4,5,30,0,0,0,-7,-5,950.0,206.10000000000002,0.30000000000000004,0.138
2011,1,4,6,30,0,0,0,-8,-5,950.0,199.20000000000002,0.30000000000000004,0.138
2011,1,4,7,30,0,0,0,-8,-5,950.0,196.10000000000002,0.30000000000000004,0.138
2011,1,4,8,30,503,37,99,-7,-4,950.0,197.60000000000002,0.4,0.138
2011,1,4,9,30,692,64,248,-7,-1,940.0,198.4,0.5,0.138
2011,1,4,10,30,848,65,379,-7,0,940.0,222.8,0.6000000000000001,0.138
2011,1,4,11,30,376,166,329,-7,1,940.0,236.8,0.7000000000000001,0.138
2011,1,4,12,30,863,82,469,-6,2,940.0,245.8,0.7000000000000001,0.138
2011,1,4,13,30,863,73,433,-5,2,940.0,253.3,0.8,0.138
2011,1,4,14,30,800,67,339,-5,1,940.0,256.8,0.7000000000000001,0.138
2011,1,4,15,30,664,54,202,-4,0,940.0,257.8,0.6000000000000001,0.138
2011,1,4,16,30,306,27,50,-4,0,940.0,258.0,0.6000000000000001,0.138
2011,1,4,17,30,0,0,0,-3,-1,940.0,258.90000000000003,0.6000000000000001,0.138
2011,1,4,18,30,0,0,0,-3,-1,940.0,261.7,0.7000000000000001,0.138
2011,1,4,19,30,0,0,0,-3,-1,940.0,267.5,0.7000000000000001,0.138
2011,1,4,20,30,0,0,0,-3,-1,940.0,274.5,0.8,0.138
2011,1,4,21,30,0,0,0,-3,-2,940.0,280.40000000000003,0.8,0.138
2011,1,4,22,30,0,0,0,-5,-2,940.0,284.90000000000003,0.8,0.138
2011,1,4,23,30,0,0,0,-6,-3,940.0,286.6,0.7000000000000001,0.138
2011,1,5,0,30,0,0,0,-7,-4,940.0,285.0,0.7000000000000001,0.138
2011,1,5,1,30,0,0,0,-7,-5,940.0,284.1,0.6000000000000001,0.138
2011,1,5,2,30,0,0,0,-7,-5,950.0,285.90000000000003,0.6000000000000001,0.138
2011,1,5,3,30,0,0,0,-7,-5,950.0,288.0,0.6000000000000001,0.138
2011,1,5,4,30,0,0,0,-7,-5,950.0,290.2,0.6000000000000001,0.138
2011,1,5,5,30,0,0,0,-8,-6,950.0,292.8,0.6000000000000001,0.138
2011,1,5,6,30,0,0,0,-8,-6,950.0,294.1,0.5,0.138
2011,1,5,7,30,0,0,0,-8,-6,950.0,292.5,0.5,0.138
2011,1,5,8,30,90,45,56,-8,-5,950.0,291.8,0.5,0.138
2011,1,5,9,30,698,68,253,-9,-4,950.0,297.2,0.6000000000000001,0.138
2011,1,5,10,30,305,146,259,-10,-4,950.0,293.7,0.6000000000000001,0.138
2011,1,5,11,30,336,174,320,-10,-3,950.0,287.1,0.6000000000000001,0.138
2011,1,5,12,30,0,119,119,-10,-3,940.0,282.6,0.6000000000000001,0.138
2011,1,5,13,30,352,164,311,-10,-3,940.0,282.2,0.6000000000000001,0.138
2011,1,5,14,30,0,117,117,-10,-3,940.0,284.0,0.5,0.138
2011,1,5,15,30,49,87,98,-10,-4,940.0,286.0,0.4,0.138
2011,1,5,16,30,0,25,25,-9,-4,940.0,292.0,0.30000000000000004,0.138
2011,1,5,17,30,0,0,0,-8,-5,940.0,298.1,0.2,0.138
2011,1,5,18,30,0,0,0,-8,-6,940.0,303.40000000000003,0.2,0.138
2011,1,5,19,30,0,0,0,-8,-7,940.0,308.70000000000005,0.2,0.866
2011,1,5,20,30,0,0,0,-9,-7,940.0,310.90000000000003,0.30000000000000004,0.866
2011,1,5,21,30,0,0,0,-9,-8,940.0,308.90000000000003,0.4,0.866
2011,1,5,22,30,0,0,0,-10,-8,940.0,311.40000000000003,0.5,0.866
2011,1,5,23,30,0,0,0,-10,-8,940.0,314.40000000000003,0.5,0.866
2011,1,6,0,30,0,0,0,-10,-8,940.0,310.40000000000003,0.6000000000000001,0.866
2011,1,6,1,30,0,0,0,-10,-8,940.0,303.5,0.5,0.866
2011,1,6,2,30,0,0,0,-10,-8,940.0,295.40000000000003,0.30000000000000004,0.866
2011,1,6,3,30,0,0,0,-10,-9,940.0,282.0,0.2,0.866
2011,1,6,4,30,0,0,0,-10,-9,940.0,270.1,0.1,0.866
2011,1,6,5,30,0,0,0,-10,-9,940.0,258.5,0.1,0.866
2011,1,6,6,30,0,0,0,-10,-9,940.0,247.20000000000002,0.2,0.866
